Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",0,4.21,Bantam Books,Hardcover,224,2004,1950,,2024/06/10,to-read,to-read (#222),to-read,,,,0,0
70535,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",0,4.17,Roc,Paperback,297,2000,1968,,2024/06/10,to-read,to-read (#221),to-read,,,,0,0
61884982,Ordinary Monsters (The Talents Trilogy #1),J.M. Miro,"Miro, J.M.",,"=""1250833671""","=""9781250833679""",0,3.78,Flatiron Books,Paperback,672,2023,2022,,2024/06/09,to-read,to-read (#220),to-read,,,,0,0
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",5,4.48,Del Rey,ebook,466,2015,2015,2024/06/07,2024/05/27,,,read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",0,4.12,Vintage International,Paperback,467,2006,2002,,2024/06/07,to-read,to-read (#219),to-read,,,,0,0
176442577,"Murder Your Employer (The McMasters Guide to Homicide, #1)",Rupert Holmes,"Holmes, Rupert",,"=""1451648227""","=""9781451648225""",0,3.82,Avid Reader Press,Paperback,395,2024,2023,,2024/06/06,to-read,to-read (#218),to-read,,,,0,0
53000876,Contact,Carl Sagan,"Sagan, Carl",,"=""""","=""""",5,4.15,Simon & Schuster,Kindle Edition,375,2016,1985,2024/06/05,2024/06/02,nyc-collection,nyc-collection (#182),read,Fun to read with an ending that was both frustrating and perfect.,,,1,0
25817493,News of the World,Paulette Jiles,"Jiles, Paulette",,"=""0062409204""","=""9780062409201""",0,4.08,William Morrow,Hardcover,209,2016,2016,,2024/05/24,"to-read, nyc-collection","to-read (#185), nyc-collection (#184)",to-read,,,,0,0
173754979,James,Percival Everett,"Everett, Percival",,"=""""","=""""",0,4.51,Knopf Doubleday,Hardcover,303,2024,2024,,2024/06/03,to-read,to-read (#217),to-read,,,,0,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.21,Grand Central Publishing,Paperback,345,2000,1993,,2024/06/03,to-read,to-read (#216),to-read,,,,0,0
40376072,"Children of Ruin (Children of Time, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",Mel Hudson,"=""""","=""""",4,4.05,Macmillan Digital Audio,Audible Audio,597,2019,2019,2024/06/03,2024/05/29,,,read,,,,1,0
199798488,I'm Afraid You've Got Dragons,Peter S. Beagle,"Beagle, Peter S.",,"=""1668025272""","=""9781668025277""",3,3.68,Saga Press,Hardcover,278,2024,2024,2024/06/03,2024/05/25,,,read,,,,1,0
123811874,Parable of the Talents,Octavia E. Butler,"Butler, Octavia E.",,"=""1538765500""","=""9781538765500""",0,4.32,Grand Central Publishing,Kindle Edition,434,2023,1998,,2024/06/02,to-read,to-read (#215),to-read,,,,0,0
145630753,The City of Stardust,Georgia  Summers,"Summers, Georgia",,"=""0316561738""","=""9780316561730""",0,3.31,Redhook,Kindle Edition,335,2024,2024,,2024/06/02,to-read,to-read (#214),to-read,,,,0,0
123168741,"Murder Your Employer (The McMasters Guide to Homicide, #1)",Rupert Holmes,"Holmes, Rupert",,"=""""","=""""",0,3.82,,Kindle Edition,,2023,2023,,2024/06/02,to-read,to-read (#213),to-read,,,,0,0
